Comment,Designator,Footprint,LCSC,,
.1uF,"C3,C12",C_0805_2012Metric,C49678,,
0.047uF,C10,C_0805_2012Metric,C53134,,
Green,D1,LED_0805_2012Metric,C2297,,
75R,"R1,R2,R4,R12,R13,R14,R17",R_0805_2012Metric,C25327,,
1K,"R10,R11",R_0805_2012Metric,C17369,,
330R,"R15,R20,R21",R_0805_2012Metric,C17630,,
140R,R16,R_0805_2012Metric,C44385,,
680K,R3,R_0805_2012Metric,C17797,,
2.2K,"R5,R6",R_0805_2012Metric,C17520,,
47K,R7,R_0805_2012Metric,C17713,,
2M2,"R8,R9",R_0805_2012Metric,C26113,,
LM1881,U1,SOIC127P600X175-8N,C518922,,
THS7374IPW,U2,SOP65P640X120-14N,C2652746,,
USB,J4,SMD,C381142,,
,,,,,
,,,,,
,,,,,
Comment,Designator,Qty,Price,Product,Website
EG2215,SW1,1,0.93,EG2215,https://www.mouser.com/ProductDetail/E-Switch/EG2215?qs=xDsBkp9LkodDJWyeIvvl7Q%3D%3D
SCART,Conn2,1,1.45,SCART,https://www.aliexpress.com/item/3256802323798972.html
9 Pin Genesis,Conn1,1,3.27,MD-90SM,https://www.mouser.com/ProductDetail/CUI-Devices/MD-90SM?qs=WyjlAZoYn53AvrHguf2LdQ%3D%3D
White RCA,AV1,1,1.64,RCJ-043,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-043?qs=WyjlAZoYn518Y1bnzBVySQ%3D%3D
Red RCA,"AV2,AV4",2,3.28,RCJ-042,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-042?qs=WyjlAZoYn51fgBDaFkMuLQ%3D%3D
Green RCA,AV3,1,1.64,RCJ-046,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-046?qs=WyjlAZoYn51EGR5Uy5P3pQ%3D%3D
Blue RCA,AV5,1,1.64,RCJ-045,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-045?qs=WyjlAZoYn513829Pavhdzg%3D%3D
BA7230LS,IC1,1,1.03,BA7230LS,https://www.aliexpress.com/item/2251832769271724.html
.1uF,"C1,C2,C13,C14,C16",5,7.26,FA26NP01H104JNU06,https://www.mouser.com/ProductDetail/TDK/FA26NP01H104JNU06?qs=UrFqKgNWc7RkUDHb07EBLQ%3D%3D
1uF,"C4,C5,C6,C7,C8,C11,C15",7,2.97,https://www.mouser.com/ProductDetail/TDK/FA26X8R1E105KNU06?qs=UrFqKgNWc7QmADs4LmXCFw%3D%3D,
10uF - D5.0_P2.00,C9,1,0.33,25MH510MEFC5X5,https://www.mouser.com/ProductDetail/Rubycon/25MH510MEFC5X5?qs=T3oQrply3y82%252BjkH1OJ4Vw%3D%3D
